tenure,Tenure_Group,MonthlyCharges,SeniorCitizen,InternetService,PaymentMethod,PaperlessBilling,TechSupport,Service_Engagement,Contract,Churn
1,New(0-1yr),29.85,0,DSL,Electronic check,Yes,No,1,Month-to-month,0
34,Standard(1-3yr),56.95,0,DSL,Mailed check,No,No,2,One year,0
2,New(0-1yr),53.85,0,DSL,Mailed check,Yes,No,2,Month-to-month,1
45,Loyal(3yr+),42.3,0,DSL,Bank transfer (automatic),No,Yes,3,One year,0
2,New(0-1yr),70.7,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
8,New(0-1yr),99.65,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
22,Standard(1-3yr),89.1,0,Fiber optic,Credit card (automatic),Yes,No,2,Month-to-month,0
10,New(0-1yr),29.75,0,DSL,Mailed check,No,No,1,Month-to-month,0
28,Standard(1-3yr),104.8,0,Fiber optic,Electronic check,Yes,Yes,4,Month-to-month,1
62,Loyal(3yr+),56.15,0,DSL,Bank transfer (automatic),No,No,2,One year,0
13,Standard(1-3yr),49.95,0,DSL,Mailed check,Yes,No,1,Month-to-month,0
16,Standard(1-3yr),18.95,0,No,Credit card (automatic),No,No internet service,0,Two year,0
58,Loyal(3yr+),100.35,0,Fiber optic,Credit card (automatic),No,No,3,One year,0
49,Loyal(3yr+),103.7,0,Fiber optic,Bank transfer (automatic),Yes,No,4,Month-to-month,1
25,Standard(1-3yr),105.5,0,Fiber optic,Electronic check,Yes,Yes,5,Month-to-month,0
69,Loyal(3yr+),113.25,0,Fiber optic,Credit card (automatic),No,Yes,6,Two year,0
52,Loyal(3yr+),20.65,0,No,Mailed check,No,No internet service,0,One year,0
71,Loyal(3yr+),106.7,0,Fiber optic,Bank transfer (automatic),No,No,4,Two year,0
10,New(0-1yr),55.2,0,DSL,Credit card (automatic),No,Yes,2,Month-to-month,1
21,Standard(1-3yr),90.05,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,0
1,New(0-1yr),39.65,1,DSL,Electronic check,Yes,No,2,Month-to-month,1
12,New(0-1yr),19.8,0,No,Bank transfer (automatic),No,No internet service,0,One year,0
1,New(0-1yr),20.15,0,No,Mailed check,No,No internet service,0,Month-to-month,1
58,Loyal(3yr+),59.9,0,DSL,Credit card (automatic),Yes,Yes,2,Two year,0
49,Loyal(3yr+),59.6,0,DSL,Credit card (automatic),No,Yes,3,Month-to-month,0
30,Standard(1-3yr),55.3,0,DSL,Bank transfer (automatic),Yes,No,2,Month-to-month,0
47,Loyal(3yr+),99.35,0,Fiber optic,Electronic check,Yes,No,3,Month-to-month,1
1,New(0-1yr),30.2,0,DSL,Electronic check,No,No,1,Month-to-month,1
72,Loyal(3yr+),90.25,0,DSL,Credit card (automatic),Yes,Yes,6,Two year,0
17,Standard(1-3yr),64.7,0,DSL,Mailed check,Yes,No,2,Month-to-month,1
71,Loyal(3yr+),96.35,1,Fiber optic,Credit card (automatic),Yes,Yes,4,Two year,0
2,New(0-1yr),95.5,1,Fiber optic,Credit card (automatic),Yes,No,3,Month-to-month,0
27,Standard(1-3yr),66.15,0,DSL,Mailed check,No,Yes,4,One year,0
1,New(0-1yr),20.2,0,No,Bank transfer (automatic),No,No internet service,0,Month-to-month,0
1,New(0-1yr),45.25,1,DSL,Bank transfer (automatic),No,No,0,Month-to-month,0
72,Loyal(3yr+),99.9,0,Fiber optic,Bank transfer (automatic),No,Yes,4,Two year,0
5,New(0-1yr),69.7,0,Fiber optic,Electronic check,Yes,No,0,Month-to-month,1
46,Loyal(3yr+),74.8,0,Fiber optic,Credit card (automatic),Yes,No,1,Month-to-month,0
34,Standard(1-3yr),106.35,0,Fiber optic,Electronic check,Yes,No,4,Month-to-month,1
11,New(0-1yr),97.85,0,Fiber optic,Bank transfer (automatic),Yes,No,3,Month-to-month,1
10,New(0-1yr),49.55,0,DSL,Mailed check,No,No,1,One year,0
70,Loyal(3yr+),69.2,0,DSL,Credit card (automatic),Yes,No,3,Two year,0
17,Standard(1-3yr),20.75,0,No,Mailed check,No,No internet service,0,One year,0
63,Loyal(3yr+),79.85,0,DSL,Credit card (automatic),Yes,Yes,5,Two year,0
13,Standard(1-3yr),76.2,0,DSL,Electronic check,Yes,Yes,4,Month-to-month,0
49,Loyal(3yr+),84.5,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,0
2,New(0-1yr),49.25,0,DSL,Mailed check,No,No,1,Month-to-month,0
2,New(0-1yr),80.65,0,Fiber optic,Electronic check,Yes,No,1,Month-to-month,1
52,Loyal(3yr+),79.75,0,DSL,Credit card (automatic),Yes,Yes,4,Two year,0
69,Loyal(3yr+),64.15,0,DSL,Credit card (automatic),Yes,Yes,3,Two year,0
43,Loyal(3yr+),90.25,1,Fiber optic,Electronic check,Yes,No,2,Month-to-month,0
15,Standard(1-3yr),99.1,0,Fiber optic,Credit card (automatic),Yes,No,4,Month-to-month,1
